,RF_Global,RF_Faixa1,RF_Faixa2,RF_Faixa3
2019-06-10 07:00:00,1.2227066865918814,1.2224543541811017,,
2019-06-10 08:00:00,1.4502145504320467,1.458032859628322,,
2019-06-10 09:00:00,1.3206302308344393,1.3235864819768142,,
2019-06-10 10:00:00,1.9396867922589027,,1.9590032838489362,
2019-06-10 11:00:00,3.962265829226535,,,4.048926888529788
2019-06-10 12:00:00,2.2158617560355727,,2.2148616232569016,
2019-06-10 13:00:00,1.5024786546916074,1.51028732037037,,
2019-06-10 14:00:00,1.9693029792251113,,1.981234689581103,
2019-06-10 15:00:00,1.148930796564472,1.148357495136008,,
2019-06-10 16:00:00,0.941143234671279,0.9354678640067333,,
2019-06-10 17:00:00,0.8110438427248241,0.8118531567070315,,
2019-06-10 18:00:00,0.3605993186311271,0.3612668278968252,,
2019-06-11 05:00:00,0.47322923043771,0.4784668953785136,,
2019-06-11 06:00:00,0.40630735655080225,0.4063254848692815,,
2019-06-11 07:00:00,1.6837346693060038,1.701427566666667,,
2019-06-11 08:00:00,2.7064688839762545,,2.6999989819779797,
2019-06-11 09:00:00,3.967508311424409,,,4.047806988081006
2019-06-11 10:00:00,4.705277545392926,,,4.815614788325621
2019-06-11 11:00:00,5.51015783495507,,,5.515444828347858
2019-06-11 12:00:00,4.71930110281405,,,4.707708697222226
2019-06-11 13:00:00,3.05795613938122,,3.059278437882136,
2019-06-11 14:00:00,1.3240630618062972,1.3278991057458231,,
2019-06-11 15:00:00,0.3851175902976922,0.38775594089494625,,
2019-06-11 16:00:00,0.9900778839646469,0.9976046797138051,,
2019-06-11 17:00:00,0.46248171001089844,0.4664580481559489,,
2019-06-12 04:00:00,0.3414540903432616,0.34646358852783515,,
2019-06-12 05:00:00,0.4466348158247046,0.44940227535531035,,
2019-06-12 06:00:00,0.9808762248806058,0.9887385316259114,,
2019-06-12 07:00:00,2.264163097371294,,2.254174070267882,
2019-06-12 08:00:00,3.680003506919533,,,3.6626495811508812
2019-06-12 09:00:00,2.4225368785359023,,2.42054114324096,
2019-06-12 10:00:00,2.2157774307728846,,2.214802749600279,
2019-06-12 11:00:00,1.455521561725997,1.4577476300519114,,
2019-06-12 12:00:00,2.229172677613561,,2.2369763525053616,
2019-06-12 13:00:00,3.6733426032160135,,,3.6599098664190315
2019-06-12 14:00:00,2.6530675860073574,,2.65739824638731,
2019-06-12 15:00:00,2.1857698914603576,,2.184297246976589,
2019-06-12 16:00:00,1.553399507889357,1.5554627439372681,,
2019-06-12 17:00:00,0.7890860108955918,0.7867923760545161,,
2019-06-13 04:00:00,0.6671560236125879,0.6618667109017677,,
2019-06-13 05:00:00,0.687575138033053,0.6896358686200301,,
2019-06-13 06:00:00,1.2006624167285715,1.203634187534643,,
2019-06-13 07:00:00,2.280029752573501,,2.257749280968328,
2019-06-13 08:00:00,2.8906942455312583,,2.890353856123539,
2019-06-13 09:00:00,3.390093884872895,,3.415743319629745,
